제작자,차명,생산기간(from),생산기간(to),리콜개시일,리콜사유
메르세데스벤츠코리아(주),GLE 450 4MATIC,2018-07-11,2018-09-18,2019-03-15,리어스포일러의 위쪽 부분이 스포일러 본체에 제대로 용접되어 있지 않을 수 있습니다.
아우디폭스바겐코리아(주),A3 40 TFSI,2018-04-23,2018-07-03,2019-04-12,"특정 기간 동안 생산된 차량 중, 부품 제조사의 공정 불량으로 인해, 후방 중앙 좌석의 머리지지대(헤드 레스트) 고정핀이 일부 누락되었을 가능성이 있습니다."
아우디폭스바겐코리아(주),A3 40 TFSI Premium,2018-05-03,2018-05-25,2019-04-12,"특정 기간 동안 생산된 차량 중, 부품 제조사의 공정 불량으로 인해, 후방 중앙 좌석의 머리지지대(헤드 레스트) 고정핀이 일부 누락되었을 가능성이 있습니다."
케이알모터스 주식회사,Metropolis 400,2014-01-01,2016-05-30,2019-04-01,앞 브레이크 호스의 내구성 문제로 인해 장기간 반복적인 사용에 의해 호스가 균열이 발생할 가능성이 있으며 미세 크랙으로 발전하여 브레이크 오일 누유 가능성 있음
한불모터스(주),Citroen Grand C4 Picasso 2.0 BlueHDi,2014-01-17,2017-11-10,2019-03-14,실내 히팅 저항 배선의 설계 문제로 인하여 두 접지 히팅 저항과 배선 포인트 간에 저항 불균형과 열을 충분히 발산하지 못하는 배선의 사이즈 문제
한불모터스(주),Citreon C4 Picasso 2.0 Blue-HDi,2014-06-16,2014-10-23,2019-03-14,실내 히팅 저항 배선의 설계 문제로 인하여 두 접지 히팅 저항과 배선 포인트 간에 저항 불균형과 열을 충분히 발산하지 못하는 배선의 사이즈 문제
한불모터스(주),DS7 Crossback 2.0 BlueHDi,2017-12-02,2018-02-20,2019-03-14,실내 히팅 저항 배선의 설계 문제로 인하여 두 접지 히팅 저항과 배선 포인트 간에 저항 불균형과 열을 충분히 발산하지 못하는 배선의 사이즈 문제
(주)스포츠모터사이클코리아,1290 SUPER ADVENTURE 2015,2014-12-15,2015-06-01,2019-03-05,"연료 탱크의 회전 성형 공정에서의 생산 불량으로 인해, 연료탱크 위 카울 체결 너트의 하단 부에서 연료 누출이 있을 수 있습니다."
(주)스포츠모터사이클코리아,1290 SUPER ADVENTURE 2015,2016-03-11,2016-04-26,2019-03-05,"연료 탱크의 회전 성형 공정에서의 생산 불량으로 인해, 연료탱크 위 카울 체결 너트의 하단 부에서 연료 누출이 있을 수 있습니다."
(주)재규어랜드로버코리아,디스커버리 스포츠,2014-10-03,2016-10-16,2019-03-04,"다카타사에서 공급한 운전석 에어백(건조제가 없는 질산암모늄 인플레이터 사용)이 높은 습도에 수년간 노출될 경우, 에어백 전개 시 압력이 과도할 수 있음."
(주)재규어랜드로버코리아,재규어 F-TYPE,2018-11-27,2018-11-27,2019-03-04,크랭크축 풀리 고정용 볼트 불량(열처리과정에서 수소취성으로 인해 불량 생산됨)
(주)재규어랜드로버코리아,레인지로버,2018-10-11,2018-12-03,2019-03-04,크랭크축 풀리 고정용 볼트 불량(열처리과정에서 수소취성으로 인해 불량 생산됨)
(주)재규어랜드로버코리아,레인지로버 스포츠,2018-11-06,2018-11-28,2019-03-04,크랭크축 풀리 고정용 볼트 불량(열처리과정에서 수소취성으로 인해 불량 생산됨)
(주)재규어랜드로버코리아,레인지로버 벨라,2018-10-16,2018-11-22,2019-03-04,크랭크축 풀리 고정용 볼트 불량(열처리과정에서 수소취성으로 인해 불량 생산됨)
비엠더블유코리아(주),X5 xDrive 30d,2018-10-23,2018-10-23,2019-03-12,운전석 안전벨트의 고정볼트가 규정된 조임 힘 (조임 토크)보다 덜 조여진 상태로 생산되었습니다.
포르쉐코리아 주식회사,카이엔,2017-10-10,2018-06-07,2019-03-15,"계기판 소프트웨어의 오류로 인하여 해당 차량의 브레이크 패드 마모 표시기와 브레이크 패드 경고등 사이의 연결이 안됩니다. 그 결과로 브레이크 패드가 마모되면 확인 가능한 노란색 경고메세지 “브레이크 패드 마모”만 계기판의 다기능 표시창에 표시됩니다. *ECE R13H에 불만족 사항(브레이크 패드 마모시 경고등 상시 점등)이며, 한-EU 동등성 인정으로 안전기준 제15조(제동장치)제1항5에 불만족 사항입니다."
포르쉐코리아 주식회사,파나메라,2016-03-21,2018-11-15,2019-03-15,"계기판 소프트웨어의 오류로 인하여 해당 차량의 브레이크 패드 마모 표시기와 브레이크 패드 경고등 사이의 연결이 안됩니다. 그 결과로 브레이크 패드가 마모되면 확인 가능한 노란색 경고메세지 “브레이크 패드 마모”만 계기판의 다기능 표시창에 표시됩니다. *ECE R13H에 불만족 사항(브레이크 패드 마모시 경고등 상시 점등)이며, 한-EU 동등성 인정으로 안전기준 제15조(제동장치)제1항5에 불만족 사항입니다."
포르쉐코리아 주식회사,911,2017-10-24,2018-01-22,2019-04-01,사이드 에어백 센서 너트가 조임 토크로 장착되지 않아 에어백 센서가 정상적으로 작동 안할 수 있습니다.
포르쉐코리아 주식회사,718 박스터,2017-10-23,2018-01-31,2019-04-01,사이드 에어백 센서 너트가 조임 토크로 장착되지 않아 에어백 센서가 정상적으로 작동 안할 수 있습니다.
포르쉐코리아 주식회사,718박스터,2016-02-23,2019-02-14,2019-03-15,연료탱크가 중앙에 있는 차량이며 충돌시험 후 트렁크 브래킷과 전면 패널 하부 사이의 부적절한 연결로 인해 정면 충돌이 발생하는 경우에 연료가 누출되어 관련된 법적 요구 사항이 충족되지 못할 수 있습니다. *안전기준 UN ECE R94/02에 불만족 사항입니다.
포르쉐코리아 주식회사,718카이맨,2016-02-23,2019-02-14,2019-03-15,연료탱크가 중앙에 있는 차량이며 충돌시험 후 트렁크 브래킷과 전면 패널 하부 사이의 부적절한 연결로 인해 정면 충돌이 발생하는 경우에 연료가 누출되어 관련된 법적 요구 사항이 충족되지 못할 수 있습니다. *안전기준 UN ECE R94/02에 불만족 사항입니다.
메르세데스벤츠코리아(주),C 200 KOMPRESSOR,2007-07-17,2007-12-20,2019-03-15,"2016년, TAKATA사가 미국 NHTSA에 제출한 질산암모늄을 사용한 운전석 및 동반석 에어백 인플레이터의 안전 결함 가능성과 관련된 결함보고서로 인해, 다임러사는 잠재적으로 영향을 받는 대상차량들에 대해 예방적인 차원으로 제작결함시정을 실시합니다."
메르세데스벤츠코리아(주),C 220 CDI,2007-01-31,2007-12-18,2019-03-15,"2016년, TAKATA사가 미국 NHTSA에 제출한 질산암모늄을 사용한 운전석 및 동반석 에어백 인플레이터의 안전 결함 가능성과 관련된 결함보고서로 인해, 다임러사는 잠재적으로 영향을 받는 대상차량들에 대해 예방적인 차원으로 제작결함시정을 실시합니다."
메르세데스벤츠코리아(주),C 230,2007-08-07,2007-12-07,2019-03-15,"2016년, TAKATA사가 미국 NHTSA에 제출한 질산암모늄을 사용한 운전석 및 동반석 에어백 인플레이터의 안전 결함 가능성과 관련된 결함보고서로 인해, 다임러사는 잠재적으로 영향을 받는 대상차량들에 대해 예방적인 차원으로 제작결함시정을 실시합니다."
아우디폭스바겐코리아(주),Passat 2.0 TDI,2011-09-02,2012-05-02,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Passat 2.5,2012-06-21,2012-08-22,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Golf Cabrio A6 2.0 TDI,2012-02-20,2012-02-20,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Polo 1.6 TDI,2012-11-28,2012-11-28,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Scirocco R 2.0 TSI,2012-04-04,2012-07-14,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),CC 2.0 TDI 4M GP,2012-03-27,2012-03-27,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),CC 2.0 TDI GP BMT,2012-03-27,2012-03-27,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),CC 2.0 TSI GP,2012-03-27,2012-03-27,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Golf A6 2.0 TDI,2012-04-18,2012-04-18,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Scirocco GP,2014-03-17,2014-03-17,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Scirocco R-line,2011-09-26,2011-09-26,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Tiguan 2.0 TDI BMT,2011-05-02,2012-02-24,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
아우디폭스바겐코리아(주),Touareg 4.2 TDI,2012-04-26,2012-04-26,2019-03-25,"양산 초기 단계에서 제작된 일부 특정 차량들에 모터쇼 출품 및 제작사 내부 사용 목적(품질 검증용)으로 양산 부품과는 다른 부품이 장착되었을 수 있습니다. 그러나, 이런 내용에 대한 기록 관리 미흡으로 인하여 차량 수정 내용에 대한 이력 확인이 불가합니다. 이는 폭스바겐사의 내부 차량 생산 표준에 부합하지 않으며, 부품 고장 발생 시 고장 내용 진단 불가로 인해 정확한 수리가 불가할 수 있습니다. 국내 모터쇼 및 신차 이벤트 용도 사용 후, 대상 차량은 동일 차종의 일반 사양으로 원상복구 수리 조치되어 판매되었어야 하나, 이력 관리 누락으로 확인 절차 및 수리 조치 없이 일반 고객에게 판매/인도되었습니다."
